ID_NAME,CONSUMPTION_SEGMENT_CODE,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01
Primary school meal (fixed charges),220209,1.0,1.0,1.0,-4.0,-6.0,-3.0,-2.0,-2.0,-4.0,-4.0,-7.0,-8.0,-15.0,-14.0,-14.0,-4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,21.0,17.0,15.0,10.0,6.0,8.0,5.0,5.0,6.0,3.0,8.0,6.0,4.0,6.0,4.0
Secondary school (cafeteria),220210,-2.0,0.0,-2.0,-7.0,-4.0,-7.0,-3.0,-3.0,-7.0,-5.0,-5.0,-8.0,-12.0,-15.0,-11.0,-6.0,-4.0,-4.0,-4.0,-6.0,-5.0,-2.0,-3.0,5.0,11.0,16.0,12.0,12.0,9.0,12.0,11.0,6.0,8.0,8.0,9.0,4.0,4.0,6.0,-1.0
Takeaway kebab,220323,0.0,0.0,-1.0,-4.0,-1.0,5.0,3.0,4.0,2.0,2.0,0.0,3.0,0.0,-3.0,-1.0,3.0,1.0,-4.0,-3.0,-3.0,-2.0,-3.0,0.0,-1.0,2.0,6.0,5.0,5.0,3.0,4.0,3.0,4.0,6.0,9.0,8.0,8.0,7.0,5.0,4.0
Takeaway chicken & chips,220326,1.0,2.0,0.0,-4.0,-1.0,-2.0,-4.0,-2.0,-3.0,-6.0,-7.0,-6.0,-6.0,-1.0,1.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,10.0,13.0,6.0,6.0,9.0,5.0,6.0,11.0,10.0,14.0,20.0,23.0,16.0,15.0,19.0,18.0
Takeaway cooked pastry,220327,-3.0,-3.0,0.0,-6.0,-5.0,-9.0,-7.0,0.0,0.0,8.0,-1.0,-1.0,9.0,9.0,6.0,7.0,4.0,9.0,10.0,10.0,10.0,10.0,19.0,19.0,7.0,7.0,13.0,14.0,13.0,15.0,14.0,10.0,12.0,6.0,4.0,3.0,0.0,0.0,4.0
Carpenter,410518,-2.0,3.0,10.0,0.0,5.0,6.0,0.0,-11.0,-12.0,-2.0,-14.0,-17.0,-11.0,-20.0,-23.0,-12.0,-18.0,-8.0,0.0,4.0,-5.0,-11.0,4.0,4.0,-1.0,8.0,15.0,9.0,13.0,5.0,2.0,2.0,13.0,10.0,6.0,9.0,8.0,7.0,-8.0
Electric kettle,430307,-4.0,-1.0,-5.0,-14.0,-8.0,-11.0,-1.0,-5.0,-6.0,-2.0,-6.0,-3.0,-11.0,-13.0,-9.0,6.0,9.0,20.0,11.0,3.0,2.0,-1.0,5.0,9.0,18.0,18.0,16.0,9.0,1.0,0.0,0.0,12.0,11.0,10.0,8.0,6.0,5.0,8.0,11.0
Electric iron,430317,-4.0,-1.0,-5.0,-1.0,-11.0,-11.0,-9.0,-11.0,-11.0,-2.0,-4.0,-3.0,-4.0,-16.0,-11.0,-17.0,-1.0,0.0,5.0,-4.0,-9.0,-12.0,-8.0,-7.0,-1.0,11.0,7.0,6.0,0.0,-4.0,-7.0,-3.0,2.0,3.0,4.0,4.0,2.0,3.0,0.0
Electric razor,430321,2.0,0.0,0.0,1.0,4.0,0.0,6.0,-7.0,-2.0,-3.0,-4.0,-3.0,-7.0,-8.0,-5.0,-3.0,-3.0,8.0,1.0,6.0,2.0,6.0,6.0,8.0,15.0,17.0,16.0,16.0,16.0,10.0,9.0,15.0,9.0,5.0,7.0,15.0,9.0,12.0,2.0
Stainless steel cutlery set,430419,0.0,1.0,1.0,-4.0,-8.0,0.0,14.0,-3.0,-1.0,3.0,-8.0,-3.0,-1.0,-9.0,-5.0,0.0,17.0,12.0,6.0,2.0,-3.0,-8.0,2.0,-3.0,3.0,13.0,16.0,17.0,6.0,3.0,3.0,11.0,12.0,15.0,15.0,12.0,11.0,18.0,4.0
Frying pan (non-stick),430423,-4.0,0.0,-5.0,-7.0,5.0,4.0,6.0,4.0,-1.0,4.0,4.0,9.0,10.0,1.0,3.0,10.0,3.0,6.0,8.0,11.0,12.0,10.0,5.0,10.0,4.0,10.0,10.0,11.0,10.0,7.0,5.0,4.0,7.0,9.0,11.0,3.0,5.0,8.0,1.0
Dog kennel fees,430622,13.0,6.0,0.0,0.0,1.0,3.0,7.0,4.0,1.0,3.0,1.0,3.0,-8.0,-17.0,-6.0,-2.0,-2.0,3.0,3.0,3.0,2.0,-2.0,2.0,4.0,14.0,28.0,20.0,20.0,17.0,10.0,11.0,12.0,12.0,15.0,10.0,8.0,12.0,8.0,5.0
Small pet mammal,430623,3.0,8.0,0.0,-3.0,-1.0,0.0,2.0,-1.0,-3.0,-3.0,-10.0,-6.0,-5.0,-7.0,-4.0,4.0,6.0,7.0,7.0,6.0,-1.0,-1.0,5.0,10.0,6.0,8.0,10.0,6.0,3.0,1.0,2.0,4.0,0.0,0.0,-4.0,-9.0,-2.0,4.0,2.0
Domestic cleaner,440101,1.0,-6.0,-4.0,-4.0,-4.0,-5.0,11.0,7.0,4.0,4.0,0.0,-2.0,-2.0,-2.0,6.0,1.0,3.0,4.0,-5.0,-2.0,-1.0,2.0,5.0,6.0,5.0,8.0,1.0,8.0,6.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,3.0,6.0,0.0
Men's short sleeved t-shirt,510132,6.0,7.0,6.0,6.0,4.0,3.0,6.0,9.0,9.0,9.0,6.0,10.0,8.0,5.0,5.0,6.0,13.0,13.0,9.0,6.0,7.0,6.0,9.0,5.0,7.0,9.0,11.0,11.0,8.0,6.0,8.0,12.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0
Men's loungewear bottoms,510133,-1.0,-2.0,-1.0,-3.0,-4.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-2.0,-1.0,4.0,-3.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0
Men's formal jacket/blazer,510134,,,,,,,,,,,,,7.0,6.0,6.0,0.0,-2.0,4.0,2.0,1.0,2.0,3.0,3.0,5.0,-3.0,-1.0,3.0,2.0,3.0,1.0,2.0,7.0,7.0,4.0,4.0,5.0,8.0,8.0,6.0
Men's pants/boxers,510402,-1.0,-5.0,-7.0,-6.0,-5.0,-7.0,-4.0,-7.0,-8.0,-9.0,-8.0,-6.0,-6.0,-10.0,-6.0,-8.0,-3.0,1.0,3.0,1.0,-2.0,3.0,3.0,0.0,3.0,11.0,5.0,8.0,1.0,2.0,5.0,9.0,9.0,7.0,6.0,9.0,5.0,4.0,8.0
Women's tights,510415,-1.0,-5.0,-7.0,-6.0,-5.0,-7.0,-4.0,-7.0,-8.0,-9.0,-8.0,-6.0,-6.0,-10.0,-6.0,-8.0,-3.0,1.0,3.0,1.0,-2.0,3.0,3.0,0.0,3.0,11.0,5.0,8.0,1.0,2.0,5.0,9.0,9.0,7.0,6.0,9.0,5.0,4.0,6.0
Sports bra/crop top,510435,,,,,,,,,,,,,3.0,3.0,5.0,1.0,-4.0,0.0,-2.0,-5.0,-3.0,-11.0,-8.0,-4.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,8.0,10.0,15.0,13.0,8.0,-1.0,-1.0,2.0
Women's high heeled shoes,510533,3.0,-3.0,-6.0,-9.0,-7.0,-8.0,-11.0,-5.0,-8.0,-5.0,-15.0,-7.0,-8.0,-7.0,-3.0,0.0,2.0,3.0,10.0,0.0,-2.0,0.0,7.0,-1.0,2.0,3.0,3.0,8.0,3.0,6.0,2.0,3.0,6.0,4.0,6.0,4.0,0.0,3.0,3.0
Women's canvas shoes,510537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toothpaste,520209,2.0,4.0,1.0,6.0,3.0,-2.0,1.0,0.0,3.0,2.0,-1.0,1.0,2.0,-3.0,3.0,3.0,3.0,8.0,7.0,7.0,5.0,2.0,3.0,4.0,7.0,11.0,6.0,13.0,10.0,12.0,8.0,11.0,7.0,9.0,9.0,9.0,5.0,8.0,13.0
Tissues,520213,0.0,1.0,1.0,-4.0,-1.0,1.0,2.0,3.0,0.0,2.0,-3.0,-4.0,-4.0,-5.0,-3.0,3.0,3.0,2.0,-1.0,1.0,2.0,-2.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,-1.0,4.0,4.0,4.0,5.0,3.0,-3.0
Facial moisturiser,520215,0.0,2.0,0.0,-2.0,-3.0,-2.0,2.0,3.0,2.0,0.0,2.0,6.0,8.0,8.0,7.0,20.0,11.0,12.0,9.0,10.0,12.0,11.0,7.0,-1.0,2.0,0.0,1.0,-5.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,4.0,2.0,4.0,0.0
Deodorant/anti perspirant,520216,-1.0,-1.0,-4.0,-2.0,0.0,-6.0,-7.0,-1.0,0.0,1.0,-6.0,-4.0,-7.0,-15.0,-4.0,-4.0,-2.0,9.0,14.0,2.0,3.0,3.0,8.0,15.0,19.0,27.0,24.0,19.0,16.0,12.0,13.0,17.0,10.0,12.0,11.0,2.0,2.0,7.0,-7.0
Mascara,520223,4.0,4.0,1.0,-3.0,-17.0,-9.0,-8.0,-11.0,-7.0,-2.0,-7.0,-7.0,-12.0,-17.0,-14.0,-10.0,17.0,6.0,8.0,0.0,3.0,-1.0,4.0,16.0,19.0,24.0,28.0,23.0,19.0,17.0,16.0,22.0,11.0,10.0,12.0,9.0,4.0,11.0,-4.0
Men's haircut,520301,-1.0,1.0,-5.0,-8.0,-19.0,-8.0,-2.0,-4.0,-7.0,-7.0,-14.0,-5.0,-8.0,-16.0,-8.0,-4.0,15.0,5.0,2.0,0.0,6.0,6.0,17.0,9.0,18.0,23.0,25.0,25.0,21.0,15.0,14.0,15.0,8.0,9.0,8.0,5.0,-4.0,3.0,-10.0
Women's hairdressing (cut & blow dry),520303,1.0,0.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,-2.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,-2.0,2.0,0.0,-3.0,1.0,-3.0,-1.0,3.0,2.0,5.0,8.0,11.0,12.0,12.0,14.0,12.0,14.0,12.0
Adult electric bike,610115,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,7.0,5.0,6.0,8.0,5.0,8.0,3.0
Car tyre,610204,-9.0,-8.0,-4.0,-4.0,4.0,3.0,6.0,-3.0,-2.0,-4.0,-7.0,-6.0,-9.0,-10.0,-12.0,-10.0,-15.0,-12.0,-16.0,-13.0,-14.0,-16.0,-9.0,-8.0,3.0,-1.0,-1.0,-3.0,3.0,3.0,8.0,7.0,6.0,7.0,3.0,-2.0,0.0,8.0,11.0
Car spare parts,610207,1.0,3.0,1.0,-3.0,-3.0,-2.0,1.0,0.0,1.0,0.0,-2.0,-2.0,-5.0,-8.0,-3.0,2.0,5.0,8.0,2.0,0.0,0.0,1.0,3.0,2.0,6.0,9.0,4.0,3.0,0.0,-4.0,-3.0,-1.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0
Ultra low sulphur diesel,610309,1.0,0.0,0.0,4.0,-2.0,6.0,10.0,7.0,6.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,-1.0,-2.0,-2.0,-3.0,-1.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,5.0,1.0
Ultra low sulphur petrol,610310,-4.0,-3.0,-4.0,-11.0,-11.0,-11.0,-5.0,-2.0,-5.0,-3.0,-5.0,-4.0,-7.0,-12.0,-8.0,0.0,2.0,1.0,-1.0,-4.0,-4.0,1.0,-3.0,-3.0,7.0,10.0,9.0,6.0,6.0,5.0,6.0,4.0,12.0,2.0,7.0,4.0,-1.0,-2.0,-8.0
VR headset,630168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,5.0
Action camera,630377,6.0,2.0,-1.0,-12.0,-10.0,-6.0,-3.0,-5.0,-6.0,-3.0,-14.0,-14.0,-14.0,-23.0,-23.0,-8.0,2.0,-1.0,-2.0,-2.0,-2.0,-4.0,8.0,8.0,8.0,24.0,26.0,22.0,9.0,5.0,8.0,8.0,12.0,10.0,3.0,3.0,5.0,9.0,-6.0
Historic monument admission,640211,-5.0,-2.0,-1.0,2.0,-5.0,2.0,-1.0,5.0,1.0,-1.0,-3.0,-5.0,-1.0,-9.0,-5.0,-8.0,-2.0,-9.0,-5.0,-10.0,-12.0,-12.0,-7.0,-2.0,0.0,8.0,2.0,0.0,-1.0,-2.0,5.0,1.0,6.0,4.0,0.0,1.0,2.0,4.0,-2.0
Theatre ticket,640212,6.0,9.0,-1.0,-1.0,2.0,-4.0,7.0,2.0,-1.0,1.0,1.0,3.0,-9.0,-19.0,-14.0,-8.0,-11.0,0.0,-9.0,-1.0,-1.0,-4.0,-4.0,-1.0,11.0,17.0,19.0,11.0,11.0,11.0,9.0,6.0,9.0,12.0,15.0,14.0,8.0,11.0,6.0
"Dried rice, basmati/jasmine",CP0111101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice cakes,CP0111101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rice, microwave",CP0111101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bread, sliced, white",CP0111301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bread, unsliced, white",CP0111301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooked Pork/ham, slices/chunks/pieces",CP0112301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salami/cured meats,CP0112301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breaded/battered fish, fish fingers and goujons",CP0113301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breaded/battered fish, whole fish",CP0113301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canned fish, tuna",CP0113302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra-virgin olive oil,CP0115101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive oil,CP0115101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapes,CP0116501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwis,CP0116501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melons,CP0116501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli,CP0117101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage,CP0117101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked beans,CP0117901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canned sweetcorn,CP0117901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canned tomatoes,CP0117901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canned/jarred beans (e.g. red kidney, not baked beans)",CP0117901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable burgers/bites,CP0117906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable sausages/fingers,CP0117906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweets, chewing/bubble gum",CP0118901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweets, mints",CP0118901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweets, hard (toffee, boiled)",CP0118902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweets, soft (e.g. jelly, pastille)",CP0118902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby formula,CP0119202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee, instant",CP0122001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee, pods or capsules",CP0122001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee, sachets",CP0122001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spirits, gin",CP0211001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
